t, omega_1,     omega_2,    omega_3,    omega_4,     M1,     M2,     M3,    M4,     Vx_o,       Vy_o,   dpsi
  0.0000  -2.0184   1.6658   2.3102  -1.9859  -0.9660   1.5251   0.8309  -0.9816  -0.0004   0.0998  -0.0199 
  0.0000  -2.0954   1.7752   2.2008  -1.9495  -0.9591   1.5104   0.8760  -1.0214  -0.0009   0.1003  -0.0091 
  0.0000  -2.0467   2.0954   2.0184  -2.4682  -0.9729   1.2880   0.9772  -0.7063  -0.0050   0.1079  -0.0112 
  0.0000  -1.9697   2.2008   1.9819  -2.7479  -1.0101   1.2672   1.0283  -0.5713  -0.0067   0.1113  -0.0182 
  0.0000  -2.0467   2.2615   2.0467  -2.2778  -1.0023   1.2551   0.9634  -0.7712  -0.0002   0.1079  -0.0005 
  0.0000  -2.2291   2.3467   2.2048  -2.2899  -0.8630   1.1737   0.8889  -0.7530   0.0004   0.1134   0.0026 
  0.0000  -2.3467   2.4601   2.1035  -2.2980  -0.7885   1.0923   0.9158  -0.7340  -0.0010   0.1151   0.0132 
  0.0000  -2.4561   2.4439   2.3386  -2.1440  -0.6976   1.0889   0.8318  -0.8266   0.0023   0.1173   0.0136 
  0.0000  -2.7114   2.2291   2.0792  -1.8238  -0.5237   1.2109   0.9279  -1.0075  -0.0028   0.1105   0.0337 
  0.0000  -1.8522   1.7792   2.0184  -1.6171  -1.0413   1.4637   0.9738  -1.1270   0.0041   0.0908  -0.0001 
  0.0000  -1.7509   1.7387   2.1764  -1.7792  -1.1200   1.5260   0.8846  -1.0724   0.0048   0.0931  -0.0151 
  0.0000  -1.8603   1.7549   2.2737  -1.8968  -1.0724   1.5615   0.8102  -1.0162   0.0034   0.0973  -0.0180 
  0.0000  -1.9454   1.9738   2.0670  -2.2372  -0.9989   1.4299   0.9322  -0.8162  -0.0018   0.1028  -0.0125 
  0.0000  -2.0954   2.2859   2.0224  -2.4358  -0.9218   1.2386   0.9738  -0.6881  -0.0028   0.1105  -0.0025 
  0.0000  -2.1521   2.3507   2.1278  -2.2170  -0.9184   1.1867   0.9097  -0.8041   0.0014   0.1106   0.0051 
  0.0000  -2.1156   2.2899   2.1440  -2.1683  -0.9054   1.2101   0.8751  -0.8249   0.0019   0.1090   0.0030 
  0.0000  -2.0832   2.2008   2.1319  -2.1156  -0.9556   1.2205   0.8829  -0.8517   0.0017   0.1066   0.0012 
  0.0000  -2.2413   2.2778   2.2251  -1.8279  -0.8379   1.1971   0.7504  -1.0136   0.0054   0.1071   0.0151 
  0.0000  -2.2778   2.0792   1.9819  -1.8846  -0.7833   1.3079   0.9859  -1.0136  -0.0013   0.1028   0.0159 
  0.0000  -2.2899   1.8968   2.0670  -1.8360  -0.7669   1.4490   0.9314  -1.0447  -0.0020   0.1011   0.0092 
  0.0000  -1.9616   1.6090   2.1643  -1.8157  -0.9833   1.6004   0.8699  -1.0794  -0.0001   0.0944  -0.0133 
  0.0000  -1.9738   2.0467   2.2251  -1.7671  -1.0352   1.3512   0.8664  -1.1330   0.0066   0.1002   0.0009 
  0.0000  -1.8765   2.4318   1.9089  -2.1278  -1.0707   1.1157   1.0015  -0.9322   0.0042   0.1043   0.0088 
  0.0000  -2.0427   2.0062   1.7549  -2.3223  -0.9452   1.4022   1.1244  -0.8136  -0.0075   0.1016  -0.0009 
  0.0000  -2.3345   2.0427   1.6293  -2.1926  -0.8301   1.3477   1.2170  -0.9037  -0.0107   0.1025   0.0180 
  0.0000  -2.3102   2.1805   1.9859  -2.0954  -0.8050   1.2984   1.0370  -0.9461  -0.0030   0.1071   0.0133 
  0.0000  -2.1278   2.2737   2.2656  -2.2291  -0.9011   1.2057   0.8941  -0.8699   0.0023   0.1112  -0.0030 
  0.0000  -2.2737   2.4439   2.6628  -2.1521  -0.8586   1.1166   0.6431  -0.9331   0.0085   0.1192  -0.0032 
  0.0000  -2.5939   2.1562   2.1440  -2.1440  -0.6249   1.2551   0.9348  -0.9634  -0.0055   0.1130   0.0150 
  0.0000  -2.0305   1.8117   2.2615  -1.8157  -0.7868   1.4827   0.8595  -1.1166   0.0028   0.0990  -0.0076 
  0.0000  -1.9576   1.8036   2.3345  -1.9697  -1.0015   1.4810   0.7851  -1.0309   0.0026   0.1008  -0.0176 
  0.0000  -1.9008   1.9495   2.3629  -1.9333  -0.9616   1.4014   0.7548  -1.0759   0.0060   0.1018  -0.0145 
  0.0000  -1.9454   2.5655   2.0913  -2.3993  -0.9513   1.0274   0.8985  -0.7859   0.0039   0.1125   0.0007 
  0.0000  -1.9454   2.2656   1.9859  -2.4480  -0.9842   1.1850   0.9513  -0.7903  -0.0018   0.1081  -0.0072 
  0.0000  -2.0711   2.2170   1.9008  -2.2291  -0.9478   1.2239   1.0162  -0.8786  -0.0023   0.1052   0.0051 
  0.0000  -2.2008   2.3142   1.8279  -2.0346  -0.8379   1.1728   1.0854  -0.9902  -0.0012   0.1047   0.0212 
